Date,Advertiser,Advertiser ID,Advertiser Status,Advertiser Integration Code,Insertion Order,Insertion Order ID,Insertion Order Status,Insertion Order Integration Code,Partner Currency,Advertiser Currency,Clicks,% Clicks Leading to Conversions,Conversions per 1000 Impressions,CPM Fee 1 (Adv Currency),CPM Fee 1 (Partner Currency),CPM Fee 1 (USD),CPM Fee 2 (Adv Currency),CPM Fee 2 (Partner Currency),CPM Fee 2 (USD),Click Rate (CTR),Data Fees (Adv Currency),Data Fees (Partner Currency),Data Fees (USD),Impressions,% Impressions Leading to Conversions,Post-Click Conversions,Post-View Conversions,Media Cost (Advertiser Currency),Media Cost eCPA (PC) (Adv Currency),Media Cost eCPA (PC) (Partner Currency),Media Cost eCPA (PC) (USD),Media Cost eCPA (PV) (Adv Currency),Media Cost eCPA (PV) (Partner Currency),Media Cost eCPA (PV) (USD),Media Cost eCPA (Adv Currency),Media Cost eCPA (Partner Currency),Media Cost eCPA (USD),Video Media Cost eCPCV (Adv Currency),Video Media Cost eCPCV (Partner Currency),Video Media Cost eCPCV (USD),Media Cost eCPC (Adv Currency),Media Cost eCPC (Partner Currency),Media Cost eCPC (USD),Media Cost eCPM (Adv Currency),Media Cost eCPM (Partner Currency),Media Cost eCPM (USD),Media Cost (Partner Currency),Media Cost (USD),Media Fee 1 (Adv Currency),Media Fee 1 (Partner Currency),Media Fee 1 (USD),Media Fee 2 (Adv Currency),Media Fee 2 (Partner Currency),Media Fee 2 (USD),DCM Post-Click Revenue,DCM Post-View Revenue,Profit (Advertiser Currency),Profit eCPM (Adv Currency),Profit eCPM (Partner Currency),Profit eCPM (USD),Profit Margin,Profit (Partner Currency),Profit (USD),Revenue (Adv Currency),Revenue eCPA (PC) (Adv Currency),Revenue eCPA (PC) (Partner Currency),Revenue eCPA (PC) (USD),Revenue eCPA (PV) (Adv Currency),Revenue eCPA (PV) (Partner Currency),Revenue eCPA (PV) (USD),Revenue eCPA (Adv Currency),Revenue eCPA (Partner Currency),Revenue eCPA (USD),Video Revenue eCPCV (Adv Currency),Video Revenue eCPCV (Partner Currency),Video Revenue eCPCV (USD),Revenue eCPC (Adv Currency),Revenue eCPC (Partner Currency),Revenue eCPC (USD),Revenue eCPM (Adv Currency),Revenue eCPM (Partner Currency),Revenue eCPM (USD),Revenue (Partner Currency),Revenue (USD),Complete Views (Video),First-Quartile Views (Video),Fullscreens (Video),Midpoint Views (Video),Audio Mutes (Video),Pauses (Video),Starts (Video),Skips (Video),Third-Quartile Views (Video),Total Conversions,Total Media Cost (Advertiser Currency),Total Media Cost eCPA (PC) (Adv Currency),Total Media Cost eCPA (PC) (Partner Currency),Total Media Cost eCPA (PC) (USD),Total Media Cost eCPA (PV) (Adv Currency),Total Media Cost eCPA (PV) (Partner Currency),Total Media Cost eCPA (PV) (USD),Total Media Cost eCPA (Adv Currency),Total Media Cost eCPA (Partner Currency),Total Media Cost eCPA (USD),Total Video Media Cost eCPCV (Adv Currency),Total Video Media Cost eCPCV (Partner Currency),Total Video Media Cost eCPCV (USD),Total Media Cost eCPC (Adv Currency),Total Media Cost eCPC (Partner Currency),Total Media Cost eCPC (USD),Total Media Cost eCPM (Adv Currency),Total Media Cost eCPM (Partner Currency),Total Media Cost eCPM (USD),Total Media Cost (Partner Currency),Total Media Cost (USD),Completion Rate (Video)
8/26/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,2,0.00%,0,0,0,0,0,0,0,0.13%,0,0,0,1540,0.00%,0,0,7.476659,0,0,0,0,0,0,0,0,0,0,0,0,3.738329,3.73833,2.892061,4.854973,4.854973,3.755923,7.476659,5.784121,0.971966,0.971966,0.751936,0,0,0,0,0,10.031375,6.51388,6.51388,5.035214,54.26%,10.031375,7.75423,18.48,0,0,0,0,0,0,0,0,0,0,0,0,9.24,9.24,7.145143,12,12,9.279407,18.48,14.290287,0,0,0,0,0,0,0,0,0,0,8.448625,0,0,0,0,0,0,0,0,0,0,0,0,4.224312,4.224312,3.268029,5.48612,5.48612,4.244193,8.448625,6.536057,0.00%
8/16/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,5,0.00%,0,0,0,0,0,0,0,0.31%,0,0,0,1622,0.00%,0,0,6.040167,0,0,0,0,0,0,0,0,0,0,0,0,1.208033,1.208033,0.938344,3.723901,3.723901,2.892553,6.040167,4.691721,0.785222,0.785222,0.609924,0,0,0,0,0,12.638611,7.791992,7.791992,6.055261,64.94%,12.638611,9.821634,19.464,0,0,0,0,0,0,0,0,0,0,0,0,3.8928,3.8928,3.024656,12,12,9.323846,19.464,15.123279,0,0,0,0,0,0,0,0,0,0,6.825389,0,0,0,0,0,0,0,0,0,0,0,0,1.365078,1.365078,1.060329,4.208008,4.208008,3.268585,6.825389,5.301645,0.00%
9/6/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,1,0.00%,0,0,0,0,0,0,0,0.07%,0,0,0,1406,0.00%,0,0,5.323415,0,0,0,0,0,0,0,0,0,0,0,0,5.323415,5.323415,4.130959,3.786213,3.786213,2.938093,5.323415,4.130959,0.692044,0.692044,0.537025,0,0,0,0,0,10.856541,7.72158,7.72158,5.995599,64.36%,10.856541,8.429813,16.872,0,0,0,0,0,0,0,0,0,0,0,0,16.872,16.872,13.097796,12,12,9.315645,16.872,13.097796,0,0,0,0,0,0,0,0,0,0,6.015459,0,0,0,0,0,0,0,0,0,0,0,0,6.015459,6.015459,4.667984,4.27842,4.27842,3.320045,6.015459,4.667984,0.00%
8/23/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,2,0.00%,0,0,0,0,0,0,0,0.13%,0,0,0,1560,0.00%,0,0,6.578652,0,0,0,0,0,0,0,0,0,0,0,0,3.289326,3.289326,2.547327,4.217085,4.217085,3.265804,6.578652,5.094654,0.855225,0.855225,0.662305,0,0,0,0,0,11.286123,7.234694,7.234694,5.603796,60.29%,11.286123,8.741922,18.72,0,0,0,0,0,0,0,0,0,0,0,0,9.36,9.36,7.24944,12,12,9.294154,18.72,14.498881,0,0,0,0,0,0,0,0,0,0,7.433877,0,0,0,0,0,0,0,0,0,0,0,0,3.716938,3.716938,2.878479,4.765306,4.765306,3.690358,7.433877,5.756959,0.00%
7/24/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,1,0.00%,0,0,0,0,0,0,0,0.06%,0,0,0,1761,0.00%,0,0,6.5435,0,0,0,0,0,0,0,0,0,0,0,0,6.5435,6.543501,4.977349,3.715786,3.715787,2.826433,6.543501,4.977349,0.850655,0.850655,0.647055,0,0,0,0,0,13.737845,7.801161,7.801162,5.93398,65.01%,13.737846,10.449738,21.132,0,0,0,0,0,0,0,0,0,0,0,0,21.132,21.132002,16.074143,12,12.000001,9.12785,21.132002,16.074143,0,0,0,0,0,0,0,0,0,0,7.394155,0,0,0,0,0,0,0,0,0,0,0,0,7.394155,7.394156,5.624405,4.198839,4.198839,3.19387,7.394156,5.624405,0.00%
9/13/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,1,0.00%,0,0,0,0,0,0,0,0.08%,0,0,0,1259,0.00%,0,0,5.041823,0,0,0,0,0,0,0,0,0,0,0,0,5.041823,5.041823,3.845626,4.004625,4.004625,3.054509,5.041823,3.845626,0.655437,0.655437,0.499931,0,0,0,0,0,9.41074,7.474774,7.474774,5.694925,62.26%,9.41074,7.16991,15.108,0,0,0,0,0,0,0,0,0,0,0,0,15.108,15.108,11.515468,12,12,9.14652,15.108,11.515468,0,0,0,0,0,0,0,0,0,0,5.69726,0,0,0,0,0,0,0,0,0,0,0,0,5.69726,5.69726,4.345558,4.525226,4.525226,3.451595,5.69726,4.345558,0.00%
7/21/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,2,0.00%,0,0,0,0,0,0,0,0.11%,0,0,0,1777,0.00%,0,0,6.876742,0,0,0,0,0,0,0,0,0,0,0,0,3.438371,3.438371,2.633007,3.86986,3.86986,2.963429,6.876742,5.266014,0.893976,0.893976,0.684582,0,0,0,0,0,13.553282,7.627058,7.627058,5.839405,63.55%,13.553282,10.376623,21.324,0,0,0,0,0,0,0,0,0,0,0,0,10.662,10.662,8.163609,12,12,9.18808,21.324,16.327219,0,0,0,0,0,0,0,0,0,0,7.770718,0,0,0,0,0,0,0,0,0,0,0,0,3.885359,3.885359,2.975298,4.372942,4.372942,3.348675,7.770718,5.950595,0.00%
9/26/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,0,0.00%,0,0,0,0,0,0,0,0.00%,0,0,0,563,0.00%,0,0,2.808452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.988369,4.988369,3.781924,2.808452,2.129223,0.365099,0.365099,0.276799,0,0,0,0,0,3.582449,6.363143,6.363142,4.823034,53.02%,3.582449,2.715368,6.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,9.096608,6.756,5.12139,0,0,0,0,0,0,0,0,0,0,3.173551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.636857,5.636857,4.273574,3.173551,2.406022,0.00%
8/10/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,0,0.00%,0,0,0,0,0,0,0,0.00%,0,0,0,1662,0.00%,0,0,6.076924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.656392,3.656392,2.800252,6.076924,4.654019,0.79,0.79,0.605022,0,0,0,0,0,13.077076,7.868277,7.868277,6.027255,65.57%,13.077076,10.017298,19.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,9.19154,19.944,15.276339,0,0,0,0,0,0,0,0,0,0,6.866924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.131723,4.131723,3.164285,6.866924,5.259042,0.00%
9/3/16,1000 AAAAAA AAAA AAAA - AAAAAA - #AAAAAAAA - AAA,1161431,Active,,1010101010 - 1000 AAAAAAA AAAA AAAA - AAAAAAA AAAA - 28 Jun 2016 - AAAAAAA - #AAAAAAAA - AAAAAAA,2427940,Paused,CTR,CAD,CAD,1,0.00%,0,0,0,0,0,0,0,0.07%,0,0,0,1447,0.00%,0,0,6.975428,0,0,0,0,0,0,0,0,0,0,0,0,6.975428,6.975428,5.369845,4.820614,4.820614,3.711019,6.975428,5.369845,0.906806,0.906806,0.69808,0,0,0,0,0,9.481766,6.552707,6.552706,5.044423,54.61%,9.481766,7.299281,17.364,0,0,0,0,0,0,0,0,0,0,0,0,17.364,17.364,13.367205,12,12,9.237875,17.364,13.367205,0,0,0,0,0,0,0,0,0,0,7.882234,0,0,0,0,0,0,0,0,0,0,0,0,7.882234,7.882234,6.067924,5.447293,5.447294,4.193452,7.882234,6.067924,0.00%
